%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1490728682797333002,21040,1490728682797333002,,-0.0352783203125,0.0111083984375,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.69627777778e-05,-9.69627777778e-05,1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682828625917,21041,1490728682828625917,,-0.0353393554688,0.0111694335938,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000174533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682857017993,21042,1490728682857017993,,-0.0352783203125,0.0111083984375,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269556522222,-5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682885086059,21043,1490728682885086059,,-0.0352783203125,0.0111083984375,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.87851111111e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,-0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682922481060,21044,1490728682922481060,,-0.0353393554688,0.0111694335938,-0.433898925781,0.900207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000155140444444,1.93925555556e-05,0.000155140444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682950701951,21045,1490728682950701951,,-0.0352783203125,0.0111083984375,-0.433837890625,0.900207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00271495777778,7.75702222222e-05,0.000155140444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728682991905927,21046,1490728682991905927,,-0.0352783203125,0.0111083984375,-0.433837890625,0.900207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,0.0,-3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.05,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683022289991,21047,1490728683022289991,,-0.0353393554688,0.010986328125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000174533,-0.000310280888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683064714908,21048,1490728683064714908,,-0.035400390625,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259860244444,0.000174533,3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683109178066,21049,1490728683109178066,,-0.035400390625,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00263738755556,-3.87851111111e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683157043933,21050,1490728683157043933,,-0.035400390625,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.87851111111e-05,0.000116355333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683196784019,21051,1490728683196784019,,-0.0354614257812,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.69627777778e-05,-3.87851111111e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683238089084,21052,1490728683238089084,,-0.0354614257812,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00263738755556,-0.000116355333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,-0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683275134086,21053,1490728683275134086,,-0.0353393554688,0.0108642578125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,0.000193925555556,-5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683310863971,21054,1490728683310863971,,-0.035400390625,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000155140444444,-0.000232710666667,5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,-0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683347681045,21055,1490728683347681045,,-0.035400390625,0.0108642578125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00257920988889,3.87851111111e-05,-3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683386179924,21056,1490728683386179924,,-0.0352783203125,0.0108032226562,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250163966667,5.81776666667e-05,1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683410845041,21057,1490728683410845041,,-0.0352783203125,0.0108032226562,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000135747888889,-9.69627777778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,-0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
